"County","State","State_FIPS","County_FIPS","Category","Percent_Change_Mortality_Rate_1980_2014"
"Autauga County"," Alabama","10","01","Cardiovascular diseases",-42.76
"Baldwin County"," Alabama","10","03","Cardiovascular diseases",-38.96
"Barbour County"," Alabama","10","05","Cardiovascular diseases",-50.52
"Bibb County"," Alabama","10","07","Cardiovascular diseases",-31.09
"Blount County"," Alabama","10","09","Cardiovascular diseases",-34.94
"Bullock County"," Alabama","10","11","Cardiovascular diseases",-46.03
"Butler County"," Alabama","10","13","Cardiovascular diseases",-30.49
"Calhoun County"," Alabama","10","15","Cardiovascular diseases",-31.55
"Chambers County"," Alabama","10","17","Cardiovascular diseases",-32.78
"Cherokee County"," Alabama","10","19","Cardiovascular diseases",-44.55
"Chilton County"," Alabama","10","21","Cardiovascular diseases",-35.71
"Choctaw County"," Alabama","10","23","Cardiovascular diseases",-32.85
"Clarke County"," Alabama","10","25","Cardiovascular diseases",-43.25
"Clay County"," Alabama","10","27","Cardiovascular diseases",-20.26
"Cleburne County"," Alabama","10","29","Cardiovascular diseases",-30.74
"Coffee County"," Alabama","10","31","Cardiovascular diseases",-30.67
"Colbert County"," Alabama","10","33","Cardiovascular diseases",-40.13
"Conecuh County"," Alabama","10","35","Cardiovascular diseases",-34.49
"Coosa County"," Alabama","10","37","Cardiovascular diseases",-39.91
"Covington County"," Alabama","10","39","Cardiovascular diseases",-37.51
"Crenshaw County"," Alabama","10","41","Cardiovascular diseases",-40
"Cullman County"," Alabama","10","43","Cardiovascular diseases",-27.34
"Dale County"," Alabama","10","45","Cardiovascular diseases",-37.45
"Dallas County"," Alabama","10","47","Cardiovascular diseases",-18.03
"DeKalb County"," Alabama","10","49","Cardiovascular diseases",-34.38
"Elmore County"," Alabama","10","51","Cardiovascular diseases",-50.41
"Escambia County"," Alabama","10","53","Cardiovascular diseases",-33.75
"Etowah County"," Alabama","10","55","Cardiovascular diseases",-34.41
"Fayette County"," Alabama","10","57","Cardiovascular diseases",-31.45
"Franklin County"," Alabama","10","59","Cardiovascular diseases",-32.08
"Geneva County"," Alabama","10","61","Cardiovascular diseases",-36.02
"Greene County"," Alabama","10","63","Cardiovascular diseases",-43.08
"Hale County"," Alabama","10","65","Cardiovascular diseases",-38.11
"Henry County"," Alabama","10","67","Cardiovascular diseases",-46.24
"Houston County"," Alabama","10","69","Cardiovascular diseases",-40.69
"Jackson County"," Alabama","10","71","Cardiovascular diseases",-38.24
"Jefferson County"," Alabama","10","73","Cardiovascular diseases",-35.81
"Lamar County"," Alabama","10","75","Cardiovascular diseases",-39.75
"Lauderdale County"," Alabama","10","77","Cardiovascular diseases",-40.04
"Lawrence County"," Alabama","10","79","Cardiovascular diseases",-34.02
"Lee County"," Alabama","10","81","Cardiovascular diseases",-48.22
"Limestone County"," Alabama","10","83","Cardiovascular diseases",-45.33
"Lowndes County"," Alabama","10","85","Cardiovascular diseases",-24.75
"Macon County"," Alabama","10","87","Cardiovascular diseases",-28.7
"Madison County"," Alabama","10","89","Cardiovascular diseases",-56.74
"Marengo County"," Alabama","10","91","Cardiovascular diseases",-32.98
"Marion County"," Alabama","10","93","Cardiovascular diseases",-20.43
"Marshall County"," Alabama","10","95","Cardiovascular diseases",-38.51
"Mobile County"," Alabama","10","97","Cardiovascular diseases",-37.93
"Monroe County"," Alabama","10","99","Cardiovascular diseases",-31.73
"Montgomery County"," Alabama","11","01","Cardiovascular diseases",-49.63
"Morgan County"," Alabama","11","03","Cardiovascular diseases",-38.57
"Perry County"," Alabama","11","05","Cardiovascular diseases",-11.29
"Pickens County"," Alabama","11","07","Cardiovascular diseases",-33.63
"Pike County"," Alabama","11","09","Cardiovascular diseases",-40.19
"Randolph County"," Alabama","11","11","Cardiovascular diseases",-34.66
"Russell County"," Alabama","11","13","Cardiovascular diseases",-60.5
"Saint Clair County"," Alabama","11","15","Cardiovascular diseases",-32.05
"Shelby County"," Alabama","11","17","Cardiovascular diseases",-55.67
"Sumter County"," Alabama","11","19","Cardiovascular diseases",-34.23
"Talladega County"," Alabama","11","21","Cardiovascular diseases",-38.6
"Tallapoosa County"," Alabama","11","23","Cardiovascular diseases",-42.86
"Tuscaloosa County"," Alabama","11","25","Cardiovascular diseases",-36.04
"Walker County"," Alabama","11","27","Cardiovascular diseases",-29.81
"Washington County"," Alabama","11","29","Cardiovascular diseases",-41.66
"Wilcox County"," Alabama","11","31","Cardiovascular diseases",-32.29
"Winston County"," Alabama","11","33","Cardiovascular diseases",-46.79
"Aleutians East Borough"," Alaska","20","13","Cardiovascular diseases",-74.13
"Aleutians West Census Area"," Alaska","20","16","Cardiovascular diseases",-74.13
"Anchorage Municipality"," Alaska","20","20","Cardiovascular diseases",-43.91
"Bethel Census Area"," Alaska","20","50","Cardiovascular diseases",-38.74
"Bristol Bay Borough"," Alaska","20","60","Cardiovascular diseases",-49.88
"Denali Borough"," Alaska","20","68","Cardiovascular diseases",-48.74
"Dillingham Census Area"," Alaska","20","70","Cardiovascular diseases",-54.64
"Fairbanks North Star Borough"," Alaska","20","90","Cardiovascular diseases",-53.8
"Haines Borough"," Alaska","21","00","Cardiovascular diseases",-43.53
"Hoonah-Angoon Census Area"," Alaska","21","05","Cardiovascular diseases",-60.99
"Juneau City and Borough"," Alaska","21","10","Cardiovascular diseases",-47.82
"Kenai Peninsula Borough"," Alaska","21","22","Cardiovascular diseases",-48.44
"Ketchikan Gateway Borough"," Alaska","21","30","Cardiovascular diseases",-49.4
"Kodiak Island Borough"," Alaska","21","50","Cardiovascular diseases",-61.71
"Kusilvak Census Area"," Alaska","21","58","Cardiovascular diseases",-39.06
"Lake and Peninsula Borough"," Alaska","21","64","Cardiovascular diseases",-54.64
"Matanuska-Susitna Borough"," Alaska","21","70","Cardiovascular diseases",-47.68
"Nome Census Area"," Alaska","21","80","Cardiovascular diseases",-40.15
"North Slope Borough"," Alaska","21","85","Cardiovascular diseases",-67.64
"Northwest Arctic Borough"," Alaska","21","88","Cardiovascular diseases",-50.11
"Petersburg Borough"," Alaska","21","95","Cardiovascular diseases",-49.4
"Prince of Wales-Hyder Census Area"," Alaska","21","98","Cardiovascular diseases",-49.4
"Sitka City and Borough"," Alaska","22","20","Cardiovascular diseases",-62.17
"Skagway Municipality"," Alaska","22","30","Cardiovascular diseases",-60.99
"Southeast Fairbanks Census Area"," Alaska","22","40","Cardiovascular diseases",-47.11
"Valdez-Cordova Census Area"," Alaska","22","61","Cardiovascular diseases",-49.49
"Wrangell City and Borough"," Alaska","22","75","Cardiovascular diseases",-49.4
"Yakutat City and Borough"," Alaska","22","82","Cardiovascular diseases",-60.99
"Yukon-Koyukuk Census Area"," Alaska","22","90","Cardiovascular diseases",-48.74
"Apache County"," Arizona","40","01","Cardiovascular diseases",-36.9
"Cochise County"," Arizona","40","03","Cardiovascular diseases",-39.26
"Coconino County"," Arizona","40","05","Cardiovascular diseases",-46.69
"Gila County"," Arizona","40","07","Cardiovascular diseases",-44.62
"Graham County"," Arizona","40","09","Cardiovascular diseases",-39.14
"Greenlee County"," Arizona","40","11","Cardiovascular diseases",-46.65
"La Paz County"," Arizona","40","12","Cardiovascular diseases",-54.59
"Maricopa County"," Arizona","40","13","Cardiovascular diseases",-50.99
"Mohave County"," Arizona","40","15","Cardiovascular diseases",-34.81
"Navajo County"," Arizona","40","17","Cardiovascular diseases",-41.59
"Pima County"," Arizona","40","19","Cardiovascular diseases",-47.2
"Pinal County"," Arizona","40","21","Cardiovascular diseases",-61.03
"Santa Cruz County"," Arizona","40","23","Cardiovascular diseases",-56.72
"Yavapai County"," Arizona","40","25","Cardiovascular diseases",-49.14
"Yuma County"," Arizona","40","27","Cardiovascular diseases",-54.59
"Arkansas County"," Arkansas","50","01","Cardiovascular diseases",-32.94
"Ashley County"," Arkansas","50","03","Cardiovascular diseases",-28.11
"Baxter County"," Arkansas","50","05","Cardiovascular diseases",-38.94
"Benton County"," Arkansas","50","07","Cardiovascular diseases",-45.46
"Boone County"," Arkansas","50","09","Cardiovascular diseases",-24.69
"Bradley County"," Arkansas","50","11","Cardiovascular diseases",-24.11
"Calhoun County"," Arkansas","50","13","Cardiovascular diseases",-40.16
"Carroll County"," Arkansas","50","15","Cardiovascular diseases",-37.91
"Chicot County"," Arkansas","50","17","Cardiovascular diseases",-19.19
"Clark County"," Arkansas","50","19","Cardiovascular diseases",-29.55
"Clay County"," Arkansas","50","21","Cardiovascular diseases",-23.41
"Cleburne County"," Arkansas","50","23","Cardiovascular diseases",-38.98
"Cleveland County"," Arkansas","50","25","Cardiovascular diseases",-32.49
"Columbia County"," Arkansas","50","27","Cardiovascular diseases",-29.13
"Conway County"," Arkansas","50","29","Cardiovascular diseases",-38.15
"Craighead County"," Arkansas","50","31","Cardiovascular diseases",-39.44
"Crawford County"," Arkansas","50","33","Cardiovascular diseases",-39.01
"Crittenden County"," Arkansas","50","35","Cardiovascular diseases",-39.46
"Cross County"," Arkansas","50","37","Cardiovascular diseases",-39.59
"Dallas County"," Arkansas","50","39","Cardiovascular diseases",-33.22
"Desha County"," Arkansas","50","41","Cardiovascular diseases",-18.29
"Drew County"," Arkansas","50","43","Cardiovascular diseases",-33.06
"Faulkner County"," Arkansas","50","45","Cardiovascular diseases",-38.71
"Franklin County"," Arkansas","50","47","Cardiovascular diseases",-33.02
"Fulton County"," Arkansas","50","49","Cardiovascular diseases",-32.15
"Garland County"," Arkansas","50","51","Cardiovascular diseases",-38.69
"Grant County"," Arkansas","50","53","Cardiovascular diseases",-41.78
"Greene County"," Arkansas","50","55","Cardiovascular diseases",-31.78
"Hempstead County"," Arkansas","50","57","Cardiovascular diseases",-22.25
"Hot Spring County"," Arkansas","50","59","Cardiovascular diseases",-34.07
"Howard County"," Arkansas","50","61","Cardiovascular diseases",-22.4
"Independence County"," Arkansas","50","63","Cardiovascular diseases",-31.87
"Izard County"," Arkansas","50","65","Cardiovascular diseases",-35.1
"Jackson County"," Arkansas","50","67","Cardiovascular diseases",-24.01
"Jefferson County"," Arkansas","50","69","Cardiovascular diseases",-29.31
"Johnson County"," Arkansas","50","71","Cardiovascular diseases",-34.24
"Lafayette County"," Arkansas","50","73","Cardiovascular diseases",-28.18
"Lawrence County"," Arkansas","50","75","Cardiovascular diseases",-31.68
"Lee County"," Arkansas","50","77","Cardiovascular diseases",-35.23
"Lincoln County"," Arkansas","50","79","Cardiovascular diseases",-29.97
"Little River County"," Arkansas","50","81","Cardiovascular diseases",-26.38
"Logan County"," Arkansas","50","83","Cardiovascular diseases",-34.81
"Lonoke County"," Arkansas","50","85","Cardiovascular diseases",-39.66
