"County","State","FIPS","GEO_ID","Category","Percent_Change_Mortality_Rate_1980_2014"
"Autauga County"," Alabama",1001,"0500000US01001","Cardiovascular diseases",-42.76
"Baldwin County"," Alabama",1003,"0500000US01003","Cardiovascular diseases",-38.96
"Barbour County"," Alabama",1005,"0500000US01005","Cardiovascular diseases",-50.52
"Bibb County"," Alabama",1007,"0500000US01007","Cardiovascular diseases",-31.09
"Blount County"," Alabama",1009,"0500000US01009","Cardiovascular diseases",-34.94
"Bullock County"," Alabama",1011,"0500000US01011","Cardiovascular diseases",-46.03
"Butler County"," Alabama",1013,"0500000US01013","Cardiovascular diseases",-30.49
"Calhoun County"," Alabama",1015,"0500000US01015","Cardiovascular diseases",-31.55
"Chambers County"," Alabama",1017,"0500000US01017","Cardiovascular diseases",-32.78
"Cherokee County"," Alabama",1019,"0500000US01019","Cardiovascular diseases",-44.55
"Chilton County"," Alabama",1021,"0500000US01021","Cardiovascular diseases",-35.71
"Choctaw County"," Alabama",1023,"0500000US01023","Cardiovascular diseases",-32.85
"Clarke County"," Alabama",1025,"0500000US01025","Cardiovascular diseases",-43.25
"Clay County"," Alabama",1027,"0500000US01027","Cardiovascular diseases",-20.26
"Cleburne County"," Alabama",1029,"0500000US01029","Cardiovascular diseases",-30.74
"Coffee County"," Alabama",1031,"0500000US01031","Cardiovascular diseases",-30.67
"Colbert County"," Alabama",1033,"0500000US01033","Cardiovascular diseases",-40.13
"Conecuh County"," Alabama",1035,"0500000US01035","Cardiovascular diseases",-34.49
"Coosa County"," Alabama",1037,"0500000US01037","Cardiovascular diseases",-39.91
"Covington County"," Alabama",1039,"0500000US01039","Cardiovascular diseases",-37.51
"Crenshaw County"," Alabama",1041,"0500000US01041","Cardiovascular diseases",-40
"Cullman County"," Alabama",1043,"0500000US01043","Cardiovascular diseases",-27.34
"Dale County"," Alabama",1045,"0500000US01045","Cardiovascular diseases",-37.45
"Dallas County"," Alabama",1047,"0500000US01047","Cardiovascular diseases",-18.03
"DeKalb County"," Alabama",1049,"0500000US01049","Cardiovascular diseases",-34.38
"Elmore County"," Alabama",1051,"0500000US01051","Cardiovascular diseases",-50.41
"Escambia County"," Alabama",1053,"0500000US01053","Cardiovascular diseases",-33.75
"Etowah County"," Alabama",1055,"0500000US01055","Cardiovascular diseases",-34.41
"Fayette County"," Alabama",1057,"0500000US01057","Cardiovascular diseases",-31.45
"Franklin County"," Alabama",1059,"0500000US01059","Cardiovascular diseases",-32.08
"Geneva County"," Alabama",1061,"0500000US01061","Cardiovascular diseases",-36.02
"Greene County"," Alabama",1063,"0500000US01063","Cardiovascular diseases",-43.08
"Hale County"," Alabama",1065,"0500000US01065","Cardiovascular diseases",-38.11
"Henry County"," Alabama",1067,"0500000US01067","Cardiovascular diseases",-46.24
"Houston County"," Alabama",1069,"0500000US01069","Cardiovascular diseases",-40.69
"Jackson County"," Alabama",1071,"0500000US01071","Cardiovascular diseases",-38.24
"Jefferson County"," Alabama",1073,"0500000US01073","Cardiovascular diseases",-35.81
"Lamar County"," Alabama",1075,"0500000US01075","Cardiovascular diseases",-39.75
"Lauderdale County"," Alabama",1077,"0500000US01077","Cardiovascular diseases",-40.04
"Lawrence County"," Alabama",1079,"0500000US01079","Cardiovascular diseases",-34.02
"Lee County"," Alabama",1081,"0500000US01081","Cardiovascular diseases",-48.22
"Limestone County"," Alabama",1083,"0500000US01083","Cardiovascular diseases",-45.33
"Lowndes County"," Alabama",1085,"0500000US01085","Cardiovascular diseases",-24.75
"Macon County"," Alabama",1087,"0500000US01087","Cardiovascular diseases",-28.7
"Madison County"," Alabama",1089,"0500000US01089","Cardiovascular diseases",-56.74
"Marengo County"," Alabama",1091,"0500000US01091","Cardiovascular diseases",-32.98
"Marion County"," Alabama",1093,"0500000US01093","Cardiovascular diseases",-20.43
"Marshall County"," Alabama",1095,"0500000US01095","Cardiovascular diseases",-38.51
"Mobile County"," Alabama",1097,"0500000US01097","Cardiovascular diseases",-37.93
"Monroe County"," Alabama",1099,"0500000US01099","Cardiovascular diseases",-31.73
"Montgomery County"," Alabama",1101,"0500000US01101","Cardiovascular diseases",-49.63
"Morgan County"," Alabama",1103,"0500000US01103","Cardiovascular diseases",-38.57
"Perry County"," Alabama",1105,"0500000US01105","Cardiovascular diseases",-11.29
"Pickens County"," Alabama",1107,"0500000US01107","Cardiovascular diseases",-33.63
"Pike County"," Alabama",1109,"0500000US01109","Cardiovascular diseases",-40.19
"Randolph County"," Alabama",1111,"0500000US01111","Cardiovascular diseases",-34.66
"Russell County"," Alabama",1113,"0500000US01113","Cardiovascular diseases",-60.5
"Saint Clair County"," Alabama",1115,"0500000US01115","Cardiovascular diseases",-32.05
"Shelby County"," Alabama",1117,"0500000US01117","Cardiovascular diseases",-55.67
